Trends,Search volume,Started,Ended,Trend breakdown,Explore link
kerala cricket league,5K+,"September 2, 2024 at 2:20:00 PM UTC+5:30",,kerala cricket league,https://trends.google.com/trends/explore?q=kerala%20cricket%20league&geo=IN&hl=en
bjp,2K+,"September 2, 2024 at 6:10:00 PM UTC+5:30",,bjp,https://trends.google.com/trends/explore?q=bjp&geo=IN&hl=en
jannik sinner,1K+,"September 3, 2024 at 6:50:00 AM UTC+5:30",,jannik sinner,https://trends.google.com/trends/explore?q=jannik%20sinner&geo=IN&hl=en
keanu reeves,2K+,"September 2, 2024 at 10:30:00 PM UTC+5:30",,keanu reeves,https://trends.google.com/trends/explore?q=keanu%20reeves&geo=IN&hl=en
the lady killer movie,1K+,"September 3, 2024 at 6:30:00 AM UTC+5:30",,"the lady killer movie,the lady killer,arjun kapoor",https://trends.google.com/trends/explore?q=the%20lady%20killer%20movie&geo=IN&hl=en
brunei,2K+,"September 2, 2024 at 7:30:00 PM UTC+5:30",,brunei,https://trends.google.com/trends/explore?q=brunei&geo=IN&hl=en
portugal fc,2K+,"September 2, 2024 at 11:40:00 PM UTC+5:30",,portugal fc,https://trends.google.com/trends/explore?q=portugal%20fc&geo=IN&hl=en
labor day,5K+,"September 2, 2024 at 9:50:00 AM UTC+5:30",,"labor day,labor day 2024,usa",https://trends.google.com/trends/explore?q=labor%20day&geo=IN&hl=en
lucknow,1K+,"September 3, 2024 at 5:20:00 AM UTC+5:30",,lucknow,https://trends.google.com/trends/explore?q=lucknow&geo=IN&hl=en
tommy paul,1K+,"September 3, 2024 at 6:50:00 AM UTC+5:30",,"tommy paul,sinner,shnaider",https://trends.google.com/trends/explore?q=tommy%20paul&geo=IN&hl=en
brad pitt george clooney movie,1K+,"September 3, 2024 at 7:10:00 AM UTC+5:30",,"brad pitt george clooney movie,george clooney,brad pitt",https://trends.google.com/trends/explore?q=brad%20pitt%20george%20clooney%20movie&geo=IN&hl=en
paralympics 2024 medal table,2K+,"September 2, 2024 at 10:40:00 PM UTC+5:30",,"paralympics 2024 medal table,para paris olympics 2024,paralympics medal table 2024,great britain at the paralympics",https://trends.google.com/trends/explore?q=paralympics%202024%20medal%20table&geo=IN&hl=en
ips amit lodha,200+,"September 3, 2024 at 6:40:00 AM UTC+5:30",,ips amit lodha,https://trends.google.com/trends/explore?q=ips%20amit%20lodha&geo=IN&hl=en
msrtc,2K+,"September 2, 2024 at 8:30:00 PM UTC+5:30",,msrtc,https://trends.google.com/trends/explore?q=msrtc&geo=IN&hl=en
03-Sep-24,500+,"September 3, 2024 at 6:20:00 AM UTC+5:30",,"3 september 2024,3 september,today rashifal,mesh rashi today",https://trends.google.com/trends/explore?q=3%20september%202024&geo=IN&hl=en
